sepal length,sepal width,petal length,petal width,Anomaly,Anomaly_Score
4.4,3.2,1.3,0.2,0,1.1233997
5.0,3.5,1.6,0.6,0,1.009371
5.1,3.8,1.9,0.4,0,1.1211388
4.8,3.0,1.4,0.3,0,1.0227982
5.1,3.8,1.6,0.2,0,1.0073886
4.6,3.2,1.4,0.2,0,1.0418955
5.3,3.7,1.5,0.2,0,1.0151341
5.0,3.3,1.4,0.2,0,0.9793213
7.0,3.2,4.7,1.4,0,1.2026384
6.4,3.2,4.5,1.5,0,1.000459
6.9,3.1,4.9,1.5,0,1.0782684
5.5,2.3,4.0,1.3,0,1.0336466
6.5,2.8,4.6,1.5,0,0.9951965
5.7,2.8,4.5,1.3,0,0.95150834
6.3,3.3,4.7,1.6,0,0.97809374
4.9,2.4,3.3,1.0,0,1.4328907
6.6,2.9,4.6,1.3,0,1.0141077
5.2,2.7,3.9,1.4,0,1.0327611
5.0,2.0,3.5,1.0,0,1.3957915
5.9,3.0,4.2,1.5,0,0.9565395
6.1,2.9,4.7,1.4,0,0.96745694
5.6,2.9,3.6,1.3,0,1.0302119
6.7,3.1,4.4,1.4,0,1.0755113
5.6,3.0,4.5,1.5,0,0.9954071
5.8,2.7,4.1,1.0,0,0.99381983
6.2,2.2,4.5,1.5,0,1.1347458
5.6,2.5,3.9,1.1,0,1.0009097
5.9,3.2,4.8,1.8,0,1.0002373
6.1,2.8,4.0,1.3,0,0.9872855
6.3,2.5,4.9,1.5,0,0.9892108
6.1,2.8,4.7,1.2,0,0.96980107
6.4,2.9,4.3,1.3,0,1.0007085
6.6,3.0,4.4,1.4,0,1.0268941
6.8,2.8,4.8,1.4,0,1.0616618
6.7,3.0,5.0,1.7,0,1.0001504
6.0,2.9,4.5,1.5,0,0.9692644
5.7,2.6,3.5,1.0,0,1.1057022
5.5,2.4,3.8,1.1,0,1.05503
5.5,2.4,3.7,1.0,0,1.1067469
5.8,2.7,3.9,1.2,0,0.99553263
6.0,2.7,5.1,1.6,0,1.019182
5.4,3.0,4.5,1.5,0,1.0552007
6.0,3.4,4.5,1.6,0,1.0192201
6.7,3.1,4.7,1.5,0,1.0328281
6.3,2.3,4.4,1.3,0,1.0762547
5.6,3.0,4.1,1.3,0,0.98555624
5.5,2.5,4.0,1.3,0,0.9993553
5.5,2.6,4.4,1.2,0,0.99124753
6.1,3.0,4.6,1.4,0,0.9746232
5.8,2.6,4.0,1.2,0,0.9979226
5.0,2.3,3.3,1.0,0,1.4013416
5.6,2.7,4.2,1.3,0,0.9948406
5.7,3.0,4.2,1.2,0,0.9767763
5.7,2.9,4.2,1.3,0,0.9812312
6.2,2.9,4.3,1.3,0,0.9582033
5.1,2.5,3.0,1.1,1,1.5118682
5.7,2.8,4.1,1.3,0,0.9887263
5.8,2.7,5.1,1.9,0,1.0459034
7.1,3.0,5.9,2.1,0,1.0596969
6.3,2.9,5.6,1.8,0,0.98324853
6.5,3.0,5.8,2.2,0,1.0030824
7.6,3.0,6.6,2.1,0,1.3995541
7.3,2.9,6.3,1.8,0,1.2669926
7.2,3.6,6.1,2.5,0,1.2205868
6.5,3.2,5.1,2.0,0,0.9774173
6.4,2.7,5.3,1.9,0,0.9771406
6.8,3.0,5.5,2.1,0,0.9782163
5.7,2.5,5.0,2.0,0,1.1248109
5.8,2.8,5.1,2.4,0,1.1385014
6.4,3.2,5.3,2.3,0,0.98625433
6.5,3.0,5.5,1.8,0,0.97606516
7.7,2.6,6.9,2.3,1,1.6246531
6.0,2.2,5.0,1.5,0,1.1381328
6.9,3.2,5.7,2.3,0,1.0314436
5.6,2.8,4.9,2.0,0,1.1026831
7.7,2.8,6.7,2.0,1,1.4913647
6.3,2.7,4.9,1.8,0,0.96237075
6.7,3.3,5.7,2.1,0,1.0037299
7.2,3.2,6.0,1.8,0,1.1437409
6.2,2.8,4.8,1.8,0,0.9547601
6.1,3.0,4.9,1.8,0,0.9728204
6.4,2.8,5.6,2.1,0,0.9854436
7.2,3.0,5.8,1.6,0,1.167374
7.4,2.8,6.1,1.9,0,1.244972
6.4,2.8,5.6,2.2,0,0.9890868
6.3,2.8,5.1,1.5,0,0.9760267
7.7,3.0,6.1,2.3,0,1.3038753
6.3,3.4,5.6,2.4,0,1.0210582
6.4,3.1,5.5,1.8,0,0.96763647
6.0,3.0,4.8,1.8,0,0.9855232
6.9,3.1,5.4,2.1,0,0.983647
6.7,3.1,5.6,2.4,0,1.0054343
6.9,3.1,5.1,2.3,0,1.025267
5.8,2.7,5.1,1.9,0,1.0459034
6.8,3.2,5.9,2.3,0,1.030771
6.7,3.3,5.7,2.5,0,1.0414069
6.7,3.0,5.2,2.3,0,0.9784743
6.3,2.5,5.0,1.9,0,1.0042319
6.5,3.0,5.2,2.0,0,0.9808475
6.2,3.4,5.4,2.3,0,1.0218189
5.9,3.0,5.1,1.8,0,1.0113264
