sepal length,sepal width,petal length,petal width,Anomaly,Anomaly_Score
5.8,2.6,4.0,1.2,0,-18.646373089776993
5.0,2.3,3.3,1.0,0,-18.492962891587396
5.6,2.7,4.2,1.3,0,-135.7970023089982
5.7,3.0,4.2,1.2,0,-53.160453046228824
5.7,2.9,4.2,1.3,0,-175.18873308447422
6.2,2.9,4.3,1.3,0,-29.97780224062525
5.1,2.5,3.0,1.1,0,-2.889911843876279
5.7,2.8,4.1,1.3,0,-195.2433547103654
5.8,2.7,5.1,1.9,0,-27.901057821342018
7.1,3.0,5.9,2.1,0,-11.91180749041491
6.3,2.9,5.6,1.8,0,-18.710013829189883
6.5,3.0,5.8,2.2,0,-27.156299602819246
7.6,3.0,6.6,2.1,0,-4.738620872585676
7.3,2.9,6.3,1.8,0,-4.748132831332913
7.2,3.6,6.1,2.5,0,-0.6123830255438059
6.5,3.2,5.1,2.0,0,-9.559401196685979
6.4,2.7,5.3,1.9,0,-18.274178473386435
6.8,3.0,5.5,2.1,0,-9.339990170760895
5.7,2.5,5.0,2.0,0,-15.766256763778824
5.8,2.8,5.1,2.4,0,-0.3850820905300566
6.4,3.2,5.3,2.3,0,-26.426569779250855
6.5,3.0,5.5,1.8,0,-19.78015110974036
7.7,2.6,6.9,2.3,0,-0.6929923513227103
6.0,2.2,5.0,1.5,0,-1.4540447199656392
6.9,3.2,5.7,2.3,0,-13.279454675087715
5.6,2.8,4.9,2.0,0,-9.716905434978122
7.7,2.8,6.7,2.0,0,-5.161528521283122
6.3,2.7,4.9,1.8,0,-54.018609963550055
6.7,3.3,5.7,2.1,0,-4.853317106077544
7.2,3.2,6.0,1.8,0,-3.0686330922308898
6.2,2.8,4.8,1.8,0,-83.53877326940228
6.1,3.0,4.9,1.8,0,-68.65192647215358
6.4,2.8,5.6,2.1,0,-133.13523028277254
7.2,3.0,5.8,1.6,0,-1.895011034792851
7.4,2.8,6.1,1.9,0,-3.8723483756239823
6.4,2.8,5.6,2.2,0,-80.68388682461114
6.3,2.8,5.1,1.5,0,-2.506675329224312
7.7,3.0,6.1,2.3,0,-0.7819388586709204
6.3,3.4,5.6,2.4,0,-20.01637030448317
6.4,3.1,5.5,1.8,0,-10.907455059541672
6.0,3.0,4.8,1.8,0,-60.96589387106095
6.9,3.1,5.4,2.1,0,-20.618554984088874
6.7,3.1,5.6,2.4,0,-20.336171720118386
6.9,3.1,5.1,2.3,0,-2.3884351664143555
5.8,2.7,5.1,1.9,0,-27.901057821342018
6.8,3.2,5.9,2.3,0,-7.822184552641625
6.7,3.3,5.7,2.5,0,-14.765496244833262
6.7,3.0,5.2,2.3,0,-13.831460891909959
6.3,2.5,5.0,1.9,0,-9.11020085135835
6.5,3.0,5.2,2.0,0,-20.571706520351565
6.2,3.4,5.4,2.3,0,-6.345400342537646
5.9,3.0,5.1,1.8,0,-28.205616172661372
